annotatorID,language,question,translation,code,langID,nllb,gtr,wiki,wiki-size,acl,family,branch,morphology,script,order,region,speakers,proofed
684,Afar,Awsi sultaanet mannal xissiimeeh?,How was the sultanate of Aussa established?,aa-01,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Rabeena kulli liggida kah yassakaxxenim macaay?,Why is 'rabena' (feast of the dead) celebrated each year?,aa-02,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qafar koqsoh digirik rakiibo madqooqi macaay?,What are the basic rules of the Afar koeso game?,aa-03,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qasxago mannal abnu dudnaah?,How can we make asdago (tradiional hair style)?,aa-04,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Nee akke sinni mari Danaakil macah nek iyyaah?,Why do outsiders call us Danakil?,aa-05,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qafar rakaakayih doolatih simbilih bisittek maqna macaay?,What do the colors of the Afar regional state flag mean?,aa-06,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qafar rakaakayih doolat inaytâ magaala Aysaqiitak Samara fan kah milaagem macaay?,Why did the Afar regional state move its capital town from Aysaita to Semera?,aa-07,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qadooyaamaraa kee Qasaayamara yaanam maca yaanamaay?,What do Adoimara and Asaimara mean?,aa-08,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Keeke digir mannal Abaanaah?,How is keeke dance performed?,aa-09,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Qafar madqak baxsale ceeloola macaay?,What are the unique characteristics of Afar Madea (the Afar customary law)?,aa-10,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Nuufe gaqammo mannal bicsaanaah?,How is nuufe (Afar bread) prepared?,aa-11,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
684,Afar,Xaagi gexsititte macaay?,What are the procedures of Dagu (the traditional information system of Afar)?,aa-12,aa,FALSE,FALSE,FALSE,0,<80,Afro-Asiatic,Cushitic,agglutinative,Latin,SOV,"Ethiopia, Djibouti, Eritrea",2.6M,FALSE
